CODE,DURATION,Z1,Z2,Z3,Z4,Z5,DESCRIPTION
CAe1,70.0,30,40,,,,10 min Z1 2 x (20 min Z2/5 min Z1) 10 min Z1
CAe10,210.0,60,150,,,,5 min Z1 5 × (30 min Z2/10 min Z1) 5 min Z1
CAe11,250.0,70,180,,,,5 min Z1 6 × (30 min Z2/10 min Z1) 5 min Z1
CAe12,270.0,90,180,,,,10 min Z1 6 × (30 min Z2/10 min Z1) 20 min Z1
CAe13,285.0,105,180,,,,10 min Z1 6 × (30 min Z2/10 min Z1) 35 min Z1
CAe14,300.0,120,180,,,,10 min Z1 6 × (30 min Z2/10 min Z1) 50 min Z1
CAe15,315.0,135,180,,,,10 min Z1 6 × (30 min Z2/10 min Z1) 65 min Z1
CAe16,330.0,150,180,,,,10 min Z1 6 × (30 min Z2/10 min Z1) 80 min Z1
CAe17,345.0,165,180,,,,10 min Z1 6 × (30 min Z2/10 min Z1) 95 min Z1
CAe18,360.0,180,180,,,,10 min Z1 6 × (30 min Z2/10 min Z1) 110 min Z1
CAe19,210.0,90,120,,,,10 min Z1 4 x (30 min Z2/10 min Z1) 40 min Z1
CAe2,90.0,45,45,,,,15 min Z1 3 x (15 min Z2/5 min Z1) 15 min Z1
CAe20,240.0,120,120,,,,10 min Z1 4 x (30 min Z2/10 min Z1) 70 min Z1
CAe21,270.0,150,120,,,,10 min Z1 4 x (30 min Z2/10 min Z1) 100 min Z1
CAe22,300.0,180,120,,,,10 min Z1 4 x (30 min Z2/10 min Z1) 130 min Z1
CAe23,330.0,210,120,,,,10 min Z1 4 x (30 min Z2/10 min Z1) 160 min Z1
CAe24,360.0,240,120,,,,10 min Z1 4 x (30 min Z2/10 min Z1) 190 min Z1
CAe25,390.0,270,120,,,,10 min Z1 4 x (30 min Z2/10 min Z1) 220 min Z1
CAe26,420.0,300,120,,,,10 min Z1 4 x (30 min Z2/10 min Z1) 250 min Z1
